no_measure,no_measure,no_measure,no_measure
f_resilient_crops,f_ditches,f_dike_elevation_s,f_dike_elevation_l
f_resilient_crops,f_dike_elevation_s,f_ditches,f_dike_elevation_l
f_ditches,f_resilient_crops,f_dike_elevation_s,f_dike_elevation_l
f_ditches,f_dike_elevation_s,f_resilient_crops,f_dike_elevation_l
f_dike_elevation_s,f_dike_elevation_l,f_resilient_crops,f_ditches
f_dike_elevation_s,f_resilient_crops,f_ditches,f_dike_elevation_l
f_dike_elevation_l,f_resilient_crops,f_dike_elevation_s,f_ditches
f_dike_elevation_l,f_ditches,f_dike_elevation_s,f_resilient_crops
