,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,927.82,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1242.62,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,112.00,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.00,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.00,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.32,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00
