,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fu_p,fa_p,da_p,ds_p
63,2832.36,1081.74,3662.07,DamUrb_tot,2,multihaz_urb,G,1,999,999,999
64,235.15,189.25,343.72,invest_f_u,2,multihaz_urb,G,1,999,999,999
65,3.2,3.0,4.0,pathways_list_f_u,2,multihaz_urb,G,1,999,999,999
66,2769.57,1052.23,3488.71,DamUrb_tot,2,multihaz_urb,G,3,999,999,999
67,228.22,182.76,337.23,invest_f_u,2,multihaz_urb,G,3,999,999,999
68,3.2,3.0,4.0,pathways_list_f_u,2,multihaz_urb,G,3,999,999,999
69,1879.34,760.76,2684.73,DamUrb_tot,2,multihaz_urb,G,12,999,999,999
70,400.46,254.12,480.12,invest_f_u,2,multihaz_urb,G,12,999,999,999
71,2.2,2.0,3.0,pathways_list_f_u,2,multihaz_urb,G,12,999,999,999
72,3559.65,1480.1,4360.32,DamUrb_tot,2,multihaz_urb,G,11,999,999,999
73,448.68,291.56,530.4,invest_f_u,2,multihaz_urb,G,11,999,999,999
74,3.9,3.0,4.0,pathways_list_f_u,2,multihaz_urb,G,11,999,999,999
75,766.51,295.18,1062.81,DamUrb_tot,2,multihaz_urb,G,10,999,999,999
76,145.59,142.0,142.0,invest_f_u,2,multihaz_urb,G,10,999,999,999
77,1.1,1.0,1.0,pathways_list_f_u,2,multihaz_urb,G,10,999,999,999
78,3053.42,1438.34,4156.51,DamUrb_tot,2,multihaz_urb,G,2,999,999,999
79,442.15,346.25,484.68,invest_f_u,2,multihaz_urb,G,2,999,999,999
80,3.7,3.0,4.0,pathways_list_f_u,2,multihaz_urb,G,2,999,999,999
81,2987.91,1422.83,4117.41,DamUrb_tot,2,multihaz_urb,G,4,999,999,999
82,435.22,339.76,479.2,invest_f_u,2,multihaz_urb,G,4,999,999,999
83,3.7,3.0,4.0,pathways_list_f_u,2,multihaz_urb,G,4,999,999,999
84,1096.33,693.19,1439.36,DamUrb_tot,2,multihaz_urb,G,7,999,999,999
85,381.0,381.0,381.0,invest_f_u,2,multihaz_urb,G,7,999,999,999
86,2.0,2.0,2.0,pathways_list_f_u,2,multihaz_urb,G,7,999,999,999
87,3041.18,1457.51,4208.41,DamUrb_tot,2,multihaz_urb,G,13,999,999,999
88,618.27,413.76,710.56,invest_f_u,2,multihaz_urb,G,13,999,999,999
89,3.8,3.0,4.0,pathways_list_f_u,2,multihaz_urb,G,13,999,999,999
90,958.24,300.58,1323.25,DamUrb_tot,2,multihaz_urb,Wp,14,999,999,999
91,165.05,142.0,196.76,invest_f_u,2,multihaz_urb,Wp,14,999,999,999
92,1.2,1.0,2.0,pathways_list_f_u,2,multihaz_urb,Wp,14,999,999,999
93,1125.7,300.58,1500.72,DamUrb_tot,2,multihaz_urb,Wp,6,999,999,999
94,154.3,112.0,300.32,invest_f_u,2,multihaz_urb,Wp,6,999,999,999
95,1.5,1.0,3.0,pathways_list_f_u,2,multihaz_urb,Wp,6,999,999,999
96,958.24,300.58,1323.25,DamUrb_tot,2,multihaz_urb,Wp,9,999,999,999
97,164.4,142.0,254.0,invest_f_u,2,multihaz_urb,Wp,9,999,999,999
98,1.2,1.0,2.0,pathways_list_f_u,2,multihaz_urb,Wp,9,999,999,999
99,1023.86,300.58,1323.25,DamUrb_tot,2,multihaz_urb,Wp,5,999,999,999
100,154.6,112.0,254.0,invest_f_u,2,multihaz_urb,Wp,5,999,999,999
101,1.3,1.0,2.0,pathways_list_f_u,2,multihaz_urb,Wp,5,999,999,999
102,10304.77,8214.59,13570.96,DamUrb_tot,2,multihaz_urb,Wp,0,999,999,999
103,0.0,0.0,0.0,invest_f_u,2,multihaz_urb,Wp,0,999,999,999
104,0.0,0.0,0.0,pathways_list_f_u,2,multihaz_urb,Wp,0,999,999,999
105,1692.4,1014.19,2344.06,DamUrb_tot,2,multihaz_urb,Wp,8,999,999,999
106,406.51,286.96,429.88,invest_f_u,2,multihaz_urb,Wp,8,999,999,999
107,2.9,2.0,3.0,pathways_list_f_u,2,multihaz_urb,Wp,8,999,999,999
108,3511.58,1582.47,4974.58,DamUrb_tot,2,multihaz_urb,Wp,1,999,999,999
109,235.7,191.74,346.71,invest_f_u,2,multihaz_urb,Wp,1,999,999,999
110,3.2,3.0,4.0,pathways_list_f_u,2,multihaz_urb,Wp,1,999,999,999
111,3433.29,1550.85,4696.75,DamUrb_tot,2,multihaz_urb,Wp,3,999,999,999
112,228.77,186.75,337.23,invest_f_u,2,multihaz_urb,Wp,3,999,999,999
113,3.2,3.0,4.0,pathways_list_f_u,2,multihaz_urb,Wp,3,999,999,999
114,2275.54,747.18,4107.84,DamUrb_tot,2,multihaz_urb,Wp,12,999,999,999
115,404.15,270.92,500.28,invest_f_u,2,multihaz_urb,Wp,12,999,999,999
116,2.2,2.0,3.0,pathways_list_f_u,2,multihaz_urb,Wp,12,999,999,999
117,4945.84,2812.53,6751.52,DamUrb_tot,2,multihaz_urb,Wp,11,999,999,999
118,464.12,345.67,530.4,invest_f_u,2,multihaz_urb,Wp,11,999,999,999
119,4.0,4.0,4.0,pathways_list_f_u,2,multihaz_urb,Wp,11,999,999,999
120,958.24,300.58,1323.25,DamUrb_tot,2,multihaz_urb,Wp,10,999,999,999
121,147.39,142.0,159.96,invest_f_u,2,multihaz_urb,Wp,10,999,999,999
122,1.2,1.0,2.0,pathways_list_f_u,2,multihaz_urb,Wp,10,999,999,999
123,3711.83,1916.21,5177.81,DamUrb_tot,2,multihaz_urb,Wp,2,999,999,999
124,476.3,460.74,484.68,invest_f_u,2,multihaz_urb,Wp,2,999,999,999
125,4.0,4.0,4.0,pathways_list_f_u,2,multihaz_urb,Wp,2,999,999,999
126,3663.37,1890.65,5230.61,DamUrb_tot,2,multihaz_urb,Wp,4,999,999,999
127,458.17,343.75,479.2,invest_f_u,2,multihaz_urb,Wp,4,999,999,999
128,3.9,3.0,4.0,pathways_list_f_u,2,multihaz_urb,Wp,4,999,999,999
129,1296.71,678.77,2053.82,DamUrb_tot,2,multihaz_urb,Wp,7,999,999,999
130,381.0,381.0,381.0,invest_f_u,2,multihaz_urb,Wp,7,999,999,999
131,2.0,2.0,2.0,pathways_list_f_u,2,multihaz_urb,Wp,7,999,999,999
132,3562.75,1914.53,4914.28,DamUrb_tot,2,multihaz_urb,Wp,13,999,999,999
133,644.37,552.64,710.56,invest_f_u,2,multihaz_urb,Wp,13,999,999,999
134,4.0,4.0,4.0,pathways_list_f_u,2,multihaz_urb,Wp,13,999,999,999
