,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fa_p,da_p,fu_p,ds_p
63,169.1,93.44,226.0,DamAgr_f_tot,2,multihaz_agr,D,2,10,999,999
64,32.44,19.98,40.68,DamAgr_d_tot,2,multihaz_agr,D,2,10,999,999
65,92.74,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,10,999,999
66,20.29,15.81,21.95,invest_d_a,2,multihaz_agr,D,2,10,999,999
67,921.97,906.79,932.25,revenue_agr,2,multihaz_agr,D,2,10,999,999
68,2.0,2.0,2.0,pathways_list_d_a,2,multihaz_agr,D,2,10,999,999
69,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,10,999,999
70,172.68,95.82,231.55,DamAgr_f_tot,2,multihaz_agr,D,2,3,999,999
71,84.47,54.6,111.86,DamAgr_d_tot,2,multihaz_agr,D,2,3,999,999
72,92.74,0.84,116.44,invest_f_a,2,multihaz_agr,D,2,3,999,999
73,25.89,16.24,36.51,invest_d_a,2,multihaz_agr,D,2,3,999,999
74,870.19,823.59,903.34,revenue_agr,2,multihaz_agr,D,2,3,999,999
75,3.4,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,2,3,999,999
76,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,3,999,999
77,159.94,96.87,222.09,DamAgr_f_tot,2,multihaz_agr,D,10,9,999,999
78,98.83,87.62,106.86,DamAgr_d_tot,2,multihaz_agr,D,10,9,999,999
79,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,9,999,999
80,33.08,23.5,35.34,invest_d_a,2,multihaz_agr,D,10,9,999,999
81,857.05,841.53,868.59,revenue_agr,2,multihaz_agr,D,10,9,999,999
82,4.0,4.0,4.0,pathways_list_d_a,2,multihaz_agr,D,10,9,999,999
83,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,9,999,999
84,163.81,97.71,229.48,DamAgr_f_tot,2,multihaz_agr,D,10,1,999,999
85,105.24,90.6,116.66,DamAgr_d_tot,2,multihaz_agr,D,10,1,999,999
86,291.53,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,1,999,999
87,32.73,23.74,37.58,invest_d_a,2,multihaz_agr,D,10,1,999,999
88,850.31,834.37,869.41,revenue_agr,2,multihaz_agr,D,10,1,999,999
89,3.7,3.0,4.0,pathways_list_d_a,2,multihaz_agr,D,10,1,999,999
90,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,1,999,999
91,171.8,95.15,233.81,DamAgr_f_tot,2,multihaz_agr,D,10,6,999,999
92,51.3,37.83,61.69,DamAgr_d_tot,2,multihaz_agr,D,10,6,999,999
93,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,6,999,999
94,34.6,30.34,36.28,invest_d_a,2,multihaz_agr,D,10,6,999,999
95,903.17,888.49,917.68,revenue_agr,2,multihaz_agr,D,10,6,999,999
96,3.0,3.0,3.0,pathways_list_d_a,2,multihaz_agr,D,10,6,999,999
97,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,6,999,999
98,172.08,95.15,234.36,DamAgr_f_tot,2,multihaz_agr,D,10,7,999,999
99,32.98,24.77,35.24,DamAgr_d_tot,2,multihaz_agr,D,10,7,999,999
100,290.52,54.76,395.24,invest_f_a,2,multihaz_agr,D,10,7,999,999
101,19.1,16.62,18.44,invest_d_a,2,multihaz_agr,D,10,7,999,999
102,921.07,906.87,930.58,revenue_agr,2,multihaz_agr,D,10,7,999,999
103,1.1,1.0,1.0,pathways_list_d_a,2,multihaz_agr,D,10,7,999,999
104,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,7,999,999
105,172.45,95.15,234.36,DamAgr_f_tot,2,multihaz_agr,D,10,8,999,999
