,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fa_p,da_p,fu_p,ds_p
0,171.2581818181818,94.18818181818182,229.57,DamAgr_f_tot,2,multihaz_agr,D,2,999,999,999
1,71.64727272727272,53.90454545454545,84.77727272727273,DamAgr_d_tot,2,multihaz_agr,D,2,999,999,999
2,92.74363636363637,0.84,116.44000000000001,invest_f_a,2,multihaz_agr,D,2,999,999,999
3,21.936363636363637,17.255454545454548,25.519090909090906,invest_d_a,2,multihaz_agr,D,2,999,999,999
4,883.0090909090909,858.1345454545454,899.218181818182,revenue_agr,2,multihaz_agr,D,2,999,999,999
5,2.3909090909090907,2.090909090909091,2.6363636363636362,pathways_list_d_a,2,multihaz_agr,D,2,999,999,999
6,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,2,999,999,999
7,167.79999999999998,95.96727272727271,230.61272727272728,DamAgr_f_tot,2,multihaz_agr,D,10,999,999,999
8,77.70818181818183,64.13818181818182,86.45272727272727,DamAgr_d_tot,2,multihaz_agr,D,10,999,999,999
9,290.70363636363635,54.76,395.23999999999995,invest_f_a,2,multihaz_agr,D,10,999,999,999
10,24.80363636363636,20.098181818181818,27.333636363636366,invest_d_a,2,multihaz_agr,D,10,999,999,999
11,877.2927272727273,857.8554545454546,891.8690909090909,revenue_agr,2,multihaz_agr,D,10,999,999,999
12,2.5363636363636366,2.3636363636363638,2.6363636363636362,pathways_list_d_a,2,multihaz_agr,D,10,999,999,999
13,1.8,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,10,999,999,999
14,85.40727272727273,31.799090909090907,118.23818181818183,DamAgr_f_tot,2,multihaz_agr,D,5,999,999,999
15,77.5918181818182,64.12818181818182,86.76363636363637,DamAgr_d_tot,2,multihaz_agr,D,5,999,999,999
16,140.40000000000003,112.0,254.0,invest_f_a,2,multihaz_agr,D,5,999,999,999
17,24.918181818181814,20.098181818181818,27.464545454545455,invest_d_a,2,multihaz_agr,D,5,999,999,999
18,885.1518181818182,864.5281818181818,897.6936363636363,revenue_agr,2,multihaz_agr,D,5,999,999,999
19,2.5454545454545454,2.3636363636363638,2.6363636363636362,pathways_list_d_a,2,multihaz_agr,D,5,999,999,999
20,1.1999999999999997,1.0,2.0,pathways_list_f_a,2,multihaz_agr,D,5,999,999,999
21,195.75636363636366,109.31545454545454,246.85181818181817,DamAgr_f_tot,2,multihaz_agr,D,11,999,999,999
