,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fa_p,da_p,fu_p,ds_p
0,1588.2497818181816,890.9293757575758,1967.9680787878783,DamUrb_tot,3,multihaz_multisec,D,13,999,999,999
1,91.73421212121212,44.899278787878785,120.25537575757575,DamAgr_f_tot,3,multihaz_multisec,D,13,999,999,999
2,76.37903636363636,63.37998787878788,84.89231515151513,DamAgr_d_tot,3,multihaz_multisec,D,13,999,999,999
3,5436.558503030303,4433.387515151516,6397.322412121212,DamShp_tot,3,multihaz_multisec,D,13,999,999,999
4,56.787939393939396,1.863030303030303,99.81515151515151,invest_f_a,3,multihaz_multisec,D,13,999,999,999
5,249.5521818181818,143.74366666666668,309.9359393939394,invest_f_u,3,multihaz_multisec,D,13,999,999,999
6,24.61945454545455,19.995515151515153,27.065272727272724,invest_d_a,3,multihaz_multisec,D,13,999,999,999
7,1456.8651212121213,965.8202848484848,1721.7146,invest_d_s,3,multihaz_multisec,D,13,999,999,999
8,866.5580606060606,839.5035757575757,885.2333818181819,revenue_agr,3,multihaz_multisec,D,13,999,999,999
9,2.5254545454545454,2.3515151515151516,2.624242424242424,pathways_list_d_a,3,multihaz_multisec,D,13,999,999,999
10,1.0412121212121213,0.3212121212121212,1.5333333333333334,pathways_list_f_a,3,multihaz_multisec,D,13,999,999,999
11,1.4400606060606063,1.0551515151515152,1.6333333333333333,pathways_list_d_s,3,multihaz_multisec,D,13,999,999,999
12,2.039818181818182,1.5333333333333334,2.466666666666667,pathways_list_f_u,3,multihaz_multisec,D,13,999,999,999
13,1096.5145818181818,437.0807757575758,1499.7086484848485,DamUrb_tot,3,multihaz_multisec,D,5,999,999,999
14,63.421090909090914,20.30191515151515,89.5986787878788,DamAgr_f_tot,3,multihaz_multisec,D,5,999,999,999
15,76.44872727272727,61.122727272727275,85.67403030303029,DamAgr_d_tot,3,multihaz_multisec,D,5,999,999,999
16,5467.851369696969,4596.473484848485,6394.351818181818,DamShp_tot,3,multihaz_multisec,D,5,999,999,999
17,98.90915151515152,35.97575757575758,184.26666666666668,invest_f_a,3,multihaz_multisec,D,5,999,999,999
18,189.80575757575758,106.644,274.3932727272727,invest_f_u,3,multihaz_multisec,D,5,999,999,999
19,24.647757575757577,19.929333333333336,27.14848484848485,invest_d_a,3,multihaz_multisec,D,5,999,999,999
20,1389.4300303030304,957.7904121212122,1670.7556000000002,invest_d_s,3,multihaz_multisec,D,5,999,999,999
21,874.570587878788,851.1069272727274,889.5543212121212,revenue_agr,3,multihaz_multisec,D,5,999,999,999
22,2.5309090909090908,2.3515151515151516,2.624242424242424,pathways_list_d_a,3,multihaz_multisec,D,5,999,999,999
23,0.8654545454545454,0.3212121212121212,1.4666666666666666,pathways_list_f_a,3,multihaz_multisec,D,5,999,999,999
24,1.396060606060606,1.0333333333333334,1.6333333333333333,pathways_list_d_s,3,multihaz_multisec,D,5,999,999,999
25,1.5593939393939393,0.9333333333333333,2.1333333333333333,pathways_list_f_u,3,multihaz_multisec,D,5,999,999,999
26,1752.4899212121213,1076.4298606060606,2245.8680545454545,DamUrb_tot,3,multihaz_multisec,D,3,999,999,999
27,94.69987272727273,45.662557575757575,125.83267878787879,DamAgr_f_tot,3,multihaz_multisec,D,3,999,999,999
28,74.22044848484849,54.191521212121216,84.85581818181817,DamAgr_d_tot,3,multihaz_multisec,D,3,999,999,999
29,5444.831345454545,4446.63516969697,6405.576042424243,DamShp_tot,3,multihaz_multisec,D,3,999,999,999
30,6.722121212121212,0.11884848484848486,2.8966666666666665,invest_f_a,3,multihaz_multisec,D,3,999,999,999
31,272.323696969697,163.2036,327.9862363636364,invest_f_u,3,multihaz_multisec,D,3,999,999,999
32,24.054545454545455,18.72260606060606,26.951999999999998,invest_d_a,3,multihaz_multisec,D,3,999,999,999
33,1474.9535212121216,995.5889393939394,1721.7146,invest_d_s,3,multihaz_multisec,D,3,999,999,999
34,834.1598424242422,789.518478787879,863.3230242424243,revenue_agr,3,multihaz_multisec,D,3,999,999,999
35,2.4957575757575756,2.242424242424242,2.624242424242424,pathways_list_d_a,3,multihaz_multisec,D,3,999,999,999
36,1.0260606060606061,0.3212121212121212,1.5333333333333334,pathways_list_f_a,3,multihaz_multisec,D,3,999,999,999
37,1.4618787878787878,1.136969696969697,1.6333333333333333,pathways_list_d_s,3,multihaz_multisec,D,3,999,999,999
38,2.183818181818182,1.6,2.5636363636363635,pathways_list_f_u,3,multihaz_multisec,D,3,999,999,999
39,1771.2195333333336,1076.4225212121214,2249.8652,DamUrb_tot,3,multihaz_multisec,D,0,999,999,999
40,99.35458787878788,46.78380606060606,133.71392727272726,DamAgr_f_tot,3,multihaz_multisec,D,0,999,999,999
41,76.28567272727274,63.150515151515144,84.86543636363635,DamAgr_d_tot,3,multihaz_multisec,D,0,999,999,999
42,5450.708684848485,4451.604424242424,6431.397866666667,DamShp_tot,3,multihaz_multisec,D,0,999,999,999
43,0.0,0.0,0.0,invest_f_a,3,multihaz_multisec,D,0,999,999,999
44,279.99680606060605,220.72487272727275,328.0089212121212,invest_f_u,3,multihaz_multisec,D,0,999,999,999
45,24.619454545454545,19.995515151515153,27.065272727272724,invest_d_a,3,multihaz_multisec,D,0,999,999,999
46,1483.8089575757576,1027.1138666666666,1721.7146,invest_d_s,3,multihaz_multisec,D,0,999,999,999
47,863.9876969696969,841.2143333333332,878.3754363636364,revenue_agr,3,multihaz_multisec,D,0,999,999,999
48,2.5254545454545454,2.3515151515151516,2.624242424242424,pathways_list_d_a,3,multihaz_multisec,D,0,999,999,999
