timing,measure_sequence,no_measure,sector_hazard,sectorname,cc_scenario,climvar,portfolio,realization,f_a,d_a,f_u,d_s,stage
,,4,multihaz_agr,d_a,G,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
38.0,0&10,1,multihaz_agr,f_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,
48.0,0&10&11,2,multihaz_agr,f_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,
58.0,0&10&11&13,3,multihaz_agr,f_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
11.0,0&10,1,multihaz_agr,f_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,
21.0,0&10&11,2,multihaz_agr,f_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,
40.0,0&10&11&13,3,multihaz_agr,f_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
23.0,0&10,1,multihaz_agr,f_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,
49.0,0&10&11,2,multihaz_agr,f_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,
61.0,0&10&11&13,3,multihaz_agr,f_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
19.0,0&10,1,multihaz_agr,f_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,
31.0,0&10&11,2,multihaz_agr,f_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,
82.0,0&10&11&13,3,multihaz_agr,f_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
53.0,0&10,1,multihaz_agr,f_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,
63.0,0&10&11,2,multihaz_agr,f_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,
73.0,0&10&11&13,3,multihaz_agr,f_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
32.0,0&10,1,multihaz_agr,f_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,
78.0,0&10&11,2,multihaz_agr,f_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,
88.0,0&10&11&13,3,multihaz_agr,f_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,
98.0,0&10&11&13&14,4,multihaz_agr,f_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,
45.0,0&10,1,multihaz_agr,f_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,
60.0,0&10&11,2,multihaz_agr,f_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,
73.0,0&10&11&13,3,multihaz_agr,f_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
20.0,0&10,1,multihaz_agr,f_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,
30.0,0&10&11,2,multihaz_agr,f_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,
57.0,0&10&11&13,3,multihaz_agr,f_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
26.0,0&10,1,multihaz_agr,f_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,
36.0,0&10&11,2,multihaz_agr,f_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,
47.0,0&10&11&13,3,multihaz_agr,f_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
56.0,0&10,1,multihaz_agr,f_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,
69.0,0&10&11,2,multihaz_agr,f_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,
84.0,0&10&11&13,3,multihaz_agr,f_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,
,,4,multihaz_agr,f_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,1,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,2,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,3,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,4,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,5,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,6,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,7,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,8,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,9,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,1,multihaz_agr,d_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,2,multihaz_agr,d_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,3,multihaz_agr,d_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
,,4,multihaz_agr,d_a,Wp,10,01_00_00_00,5000,1.0,0.0,0.0,0.0,2.0
38.0,0&14,1,multihaz_agr,f_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
48.0,0&14&10,2,multihaz_agr,f_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,3,multihaz_agr,f_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
11.0,0&14,1,multihaz_agr,f_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
23.0,0&14,1,multihaz_agr,f_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
19.0,0&14,1,multihaz_agr,f_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
59.0,0&14,1,multihaz_agr,f_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
81.0,0&14,1,multihaz_agr,f_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
45.0,0&14,1,multihaz_agr,f_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
16.0,0&14,1,multihaz_agr,f_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
26.0,0&14,1,multihaz_agr,f_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
84.0,0&14,1,multihaz_agr,f_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
7.0,0&1,1,multihaz_agr,d_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
17.0,0&1&2,2,multihaz_agr,d_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
27.0,0&1&2&4,3,multihaz_agr,d_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,4,multihaz_agr,d_a,D,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
7.0,0&1,1,multihaz_agr,d_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
17.0,0&1&2,2,multihaz_agr,d_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
27.0,0&1&2&4,3,multihaz_agr,d_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
37.0,0&1&2&4&3,4,multihaz_agr,d_a,D,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
10.0,0&1,1,multihaz_agr,d_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
20.0,0&1&2,2,multihaz_agr,d_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
30.0,0&1&2&4,3,multihaz_agr,d_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
40.0,0&1&2&4&3,4,multihaz_agr,d_a,D,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
12.0,0&1,1,multihaz_agr,d_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
22.0,0&1&2,2,multihaz_agr,d_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
32.0,0&1&2&4,3,multihaz_agr,d_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
42.0,0&1&2&4&3,4,multihaz_agr,d_a,D,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
12.0,0&1,1,multihaz_agr,d_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
24.0,0&1&2,2,multihaz_agr,d_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
34.0,0&1&2&4,3,multihaz_agr,d_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,4,multihaz_agr,d_a,D,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
20.0,0&1,1,multihaz_agr,d_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
30.0,0&1&2,2,multihaz_agr,d_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
40.0,0&1&2&4,3,multihaz_agr,d_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,4,multihaz_agr,d_a,D,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
18.0,0&1,1,multihaz_agr,d_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
28.0,0&1&2,2,multihaz_agr,d_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
38.0,0&1&2&4,3,multihaz_agr,d_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
55.0,0&1&2&4&3,4,multihaz_agr,d_a,D,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
15.0,0&1,1,multihaz_agr,d_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
25.0,0&1&2,2,multihaz_agr,d_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
35.0,0&1&2&4,3,multihaz_agr,d_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
45.0,0&1&2&4&3,4,multihaz_agr,d_a,D,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
12.0,0&1,1,multihaz_agr,d_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
22.0,0&1&2,2,multihaz_agr,d_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
32.0,0&1&2&4,3,multihaz_agr,d_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
83.0,0&1&2&4&3,4,multihaz_agr,d_a,D,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
14.0,0&1,1,multihaz_agr,d_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
24.0,0&1&2,2,multihaz_agr,d_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
34.0,0&1&2&4,3,multihaz_agr,d_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
44.0,0&1&2&4&3,4,multihaz_agr,d_a,D,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
38.0,0&14,1,multihaz_agr,f_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
48.0,0&14&10,2,multihaz_agr,f_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,3,multihaz_agr,f_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
11.0,0&14,1,multihaz_agr,f_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
23.0,0&14,1,multihaz_agr,f_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
19.0,0&14,1,multihaz_agr,f_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
58.0,0&14,1,multihaz_agr,f_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
78.0,0&14,1,multihaz_agr,f_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
45.0,0&14,1,multihaz_agr,f_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
16.0,0&14,1,multihaz_agr,f_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
26.0,0&14,1,multihaz_agr,f_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
51.0,0&14,1,multihaz_agr,f_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
7.0,0&1,1,multihaz_agr,d_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
17.0,0&1&2,2,multihaz_agr,d_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
27.0,0&1&2&4,3,multihaz_agr,d_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,4,multihaz_agr,d_a,G,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
7.0,0&1,1,multihaz_agr,d_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
17.0,0&1&2,2,multihaz_agr,d_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
27.0,0&1&2&4,3,multihaz_agr,d_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
37.0,0&1&2&4&3,4,multihaz_agr,d_a,G,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
10.0,0&1,1,multihaz_agr,d_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
20.0,0&1&2,2,multihaz_agr,d_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
30.0,0&1&2&4,3,multihaz_agr,d_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
40.0,0&1&2&4&3,4,multihaz_agr,d_a,G,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
7.0,0&1,1,multihaz_agr,d_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
17.0,0&1&2,2,multihaz_agr,d_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
27.0,0&1&2&4,3,multihaz_agr,d_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
37.0,0&1&2&4&3,4,multihaz_agr,d_a,G,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
12.0,0&1,1,multihaz_agr,d_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
23.0,0&1&2,2,multihaz_agr,d_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
33.0,0&1&2&4,3,multihaz_agr,d_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
75.0,0&1&2&4&3,4,multihaz_agr,d_a,G,5,07_01_00_00,5000,7.0,1.0,0.0,0.0,
20.0,0&1,1,multihaz_agr,d_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
30.0,0&1&2,2,multihaz_agr,d_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
40.0,0&1&2&4,3,multihaz_agr,d_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
53.0,0&1&2&4&3,4,multihaz_agr,d_a,G,6,07_01_00_00,5000,7.0,1.0,0.0,0.0,
18.0,0&1,1,multihaz_agr,d_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
28.0,0&1&2,2,multihaz_agr,d_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
38.0,0&1&2&4,3,multihaz_agr,d_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
49.0,0&1&2&4&3,4,multihaz_agr,d_a,G,7,07_01_00_00,5000,7.0,1.0,0.0,0.0,
15.0,0&1,1,multihaz_agr,d_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
25.0,0&1&2,2,multihaz_agr,d_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
35.0,0&1&2&4,3,multihaz_agr,d_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
45.0,0&1&2&4&3,4,multihaz_agr,d_a,G,8,07_01_00_00,5000,7.0,1.0,0.0,0.0,
12.0,0&1,1,multihaz_agr,d_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
22.0,0&1&2,2,multihaz_agr,d_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
32.0,0&1&2&4,3,multihaz_agr,d_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
78.0,0&1&2&4&3,4,multihaz_agr,d_a,G,9,07_01_00_00,5000,7.0,1.0,0.0,0.0,
14.0,0&1,1,multihaz_agr,d_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
24.0,0&1&2,2,multihaz_agr,d_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
34.0,0&1&2&4,3,multihaz_agr,d_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
44.0,0&1&2&4&3,4,multihaz_agr,d_a,G,10,07_01_00_00,5000,7.0,1.0,0.0,0.0,
38.0,0&14,1,multihaz_agr,f_a,Wp,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
48.0,0&14&10,2,multihaz_agr,f_a,Wp,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,3,multihaz_agr,f_a,Wp,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,Wp,1,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
11.0,0&14,1,multihaz_agr,f_a,Wp,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,Wp,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,Wp,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,Wp,2,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
23.0,0&14,1,multihaz_agr,f_a,Wp,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,Wp,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,3,multihaz_agr,f_a,Wp,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
,,4,multihaz_agr,f_a,Wp,3,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
19.0,0&14,1,multihaz_agr,f_a,Wp,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,
,,2,multihaz_agr,f_a,Wp,4,07_01_00_00,5000,7.0,1.0,0.0,0.0,2.0
