timing,measure_sequence,no_measure,sector_hazard,sectorname,cc_scenario,climvar,portfolio,realization,f_a,d_a,f_u,d_s,stage
5.0,0&14,1,multihaz_urb,f_u,G,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,4,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
58.0,0&14,1,multihaz_urb,f_u,G,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,5,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
19.0,0&14,1,multihaz_urb,f_u,G,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,6,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
18.0,0&14,1,multihaz_urb,f_u,G,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,7,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
5.0,0&14,1,multihaz_urb,f_u,G,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,8,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
26.0,0&14,1,multihaz_urb,f_u,G,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,9,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
33.0,0&14,1,multihaz_urb,f_u,G,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,G,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,G,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,G,10,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
38.0,0&14,1,multihaz_urb,f_u,Wp,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,
48.0,0&14&15,2,multihaz_urb,f_u,Wp,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,3,multihaz_urb,f_u,Wp,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,Wp,1,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
4.0,0&14,1,multihaz_urb,f_u,Wp,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,
,,2,multihaz_urb,f_u,Wp,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,3,multihaz_urb,f_u,Wp,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
,,4,multihaz_urb,f_u,Wp,2,00_00_14_00,5000,0.0,0.0,14.0,0.0,2.0
