,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,fu_p,fa_p,da_p,ds_p
75,9873.41,7324.75,13392.82,DamUrb_tot,1,flood_urb,Wp,0,999,999,999
76,0.0,0.0,0.0,invest_f_u,1,flood_urb,Wp,0,999,999,999
77,0.0,0.0,0.0,pathways_list_f_u,1,flood_urb,Wp,0,999,999,999
78,1591.7,797.59,2125.74,DamUrb_tot,1,flood_urb,Wp,8,999,999,999
79,380.22,286.96,429.88,invest_f_u,1,flood_urb,Wp,8,999,999,999
80,2.7,2.0,3.0,pathways_list_f_u,1,flood_urb,Wp,8,999,999,999
81,4368.67,2238.54,6074.05,DamUrb_tot,1,flood_urb,Wp,1,999,999,999
82,319.8,191.74,357.68,invest_f_u,1,flood_urb,Wp,1,999,999,999
83,3.8,3.0,4.0,pathways_list_f_u,1,flood_urb,Wp,1,999,999,999
84,4245.13,2204.35,5796.22,DamUrb_tot,1,flood_urb,Wp,3,999,999,999
85,312.97,186.75,352.2,invest_f_u,1,flood_urb,Wp,3,999,999,999
86,3.8,3.0,4.0,pathways_list_f_u,1,flood_urb,Wp,3,999,999,999
87,1993.9,951.12,2826.68,DamUrb_tot,1,flood_urb,Wp,10,999,999,999
88,219.97,142.0,284.43,invest_f_u,1,flood_urb,Wp,10,999,999,999
89,2.4,1.0,3.0,pathways_list_f_u,1,flood_urb,Wp,10,999,999,999
90,3839.67,2060.4,5177.64,DamUrb_tot,1,flood_urb,Wp,2,999,999,999
91,475.2,460.74,484.68,invest_f_u,1,flood_urb,Wp,2,999,999,999
92,4.0,4.0,4.0,pathways_list_f_u,1,flood_urb,Wp,2,999,999,999
93,3759.75,2084.66,5236.53,DamUrb_tot,1,flood_urb,Wp,4,999,999,999
94,457.17,343.75,479.2,invest_f_u,1,flood_urb,Wp,4,999,999,999
95,3.9,3.0,4.0,pathways_list_f_u,1,flood_urb,Wp,4,999,999,999
96,1379.89,620.16,2088.3,DamUrb_tot,1,flood_urb,Wp,7,999,999,999
97,388.18,381.0,398.96,invest_f_u,1,flood_urb,Wp,7,999,999,999
98,2.4,2.0,3.0,pathways_list_f_u,1,flood_urb,Wp,7,999,999,999
