Unnamed: 0,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,portfolio
0,2166.27,1729.15,2757.94,DamShp_tot,1,drought_shp,D,00_00_00_07
1,7556.52,6946.46,8018.04,DamShp_tot,1,drought_shp,D,00_00_00_06
2,2166.27,1729.15,2757.94,DamShp_tot,1,drought_shp,D,00_00_00_08
3,9004.04,8454.55,9364.0,DamShp_tot,1,drought_shp,D,00_00_00_00
4,7556.52,6946.46,8018.04,DamShp_tot,1,drought_shp,D,00_00_00_04
5,7691.2,7134.8,7967.87,DamShp_tot,1,drought_shp,D,00_00_00_02
6,5144.8,3083.07,7615.41,DamShp_tot,1,drought_shp,D,00_00_00_05
7,7691.2,7134.8,7967.87,DamShp_tot,1,drought_shp,D,00_00_00_03
8,2166.27,1729.15,2757.94,DamShp_tot,1,drought_shp,D,00_00_00_09
9,4695.4,2331.62,7668.89,DamShp_tot,1,drought_shp,D,00_00_00_01
10,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,D,00_00_00_07
11,253.12,211.68,268.66,invest_d_s,1,drought_shp,D,00_00_00_06
12,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,D,00_00_00_08
13,0.0,0.0,0.0,invest_d_s,1,drought_shp,D,00_00_00_00
14,253.12,211.68,268.66,invest_d_s,1,drought_shp,D,00_00_00_04
15,158.36,26.2,252.16,invest_d_s,1,drought_shp,D,00_00_00_02
16,1561.38,211.68,2473.73,invest_d_s,1,drought_shp,D,00_00_00_05
17,158.36,26.2,252.16,invest_d_s,1,drought_shp,D,00_00_00_03
18,2696.26,2486.56,2746.36,invest_d_s,1,drought_shp,D,00_00_00_09
19,1534.52,26.2,2591.19,invest_d_s,1,drought_shp,D,00_00_00_01
20,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,D,00_00_00_07
21,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,00_00_00_06
22,1.0,1.0,1.0,pathways_list_d_s,1,drought_shp,D,00_00_00_08
23,0.0,0.0,0.0,pathways_list_d_s,1,drought_shp,D,00_00_00_00
24,1.6,1.0,2.0,pathways_list_d_s,1,drought_shp,D,00_00_00_04
