,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,portfolio
74,294.08,0,0,DamAgr_f_tot,1,flood_agr,Wp,02_00_00_00
75,356.93,0,0,DamAgr_f_tot,1,flood_agr,Wp,03_00_00_00
76,294.27,0,0,DamAgr_f_tot,1,flood_agr,Wp,04_00_00_00
77,169.64,0,0,DamAgr_f_tot,1,flood_agr,Wp,05_00_00_00
78,253.06,0,0,DamAgr_f_tot,1,flood_agr,Wp,06_00_00_00
79,170.7,0,0,DamAgr_f_tot,1,flood_agr,Wp,07_00_00_00
80,171.3,0,0,DamAgr_f_tot,1,flood_agr,Wp,08_00_00_00
81,0.0,0,0,invest_f_a,1,flood_agr,Wp,00_00_00_00
82,216.18,0,0,invest_f_a,1,flood_agr,Wp,01_00_00_00
83,201.55,0,0,invest_f_a,1,flood_agr,Wp,02_00_00_00
84,187.14,0,0,invest_f_a,1,flood_agr,Wp,03_00_00_00
85,171.7,0,0,invest_f_a,1,flood_agr,Wp,04_00_00_00
86,254.58,0,0,invest_f_a,1,flood_agr,Wp,05_00_00_00
87,186.02,0,0,invest_f_a,1,flood_agr,Wp,06_00_00_00
88,188.61,0,0,invest_f_a,1,flood_agr,Wp,07_00_00_00
89,187.53,0,0,invest_f_a,1,flood_agr,Wp,08_00_00_00
90,964.05,0,0,revenue_agr,1,flood_agr,Wp,00_00_00_00
91,911.4,0,0,revenue_agr,1,flood_agr,Wp,01_00_00_00
92,932.88,0,0,revenue_agr,1,flood_agr,Wp,02_00_00_00
93,895.01,0,0,revenue_agr,1,flood_agr,Wp,03_00_00_00
94,894.7,0,0,revenue_agr,1,flood_agr,Wp,04_00_00_00
95,967.06,0,0,revenue_agr,1,flood_agr,Wp,05_00_00_00
96,939.35,0,0,revenue_agr,1,flood_agr,Wp,06_00_00_00
97,967.26,0,0,revenue_agr,1,flood_agr,Wp,07_00_00_00
98,931.63,0,0,revenue_agr,1,flood_agr,Wp,08_00_00_00
99,0.0,0,0,pathways_list_f_a,1,flood_agr,Wp,00_00_00_00
100,3.7,0,0,pathways_list_f_a,1,flood_agr,Wp,01_00_00_00
101,3.5,0,0,pathways_list_f_a,1,flood_agr,Wp,02_00_00_00
102,3.5,0,0,pathways_list_f_a,1,flood_agr,Wp,03_00_00_00
103,3.3,0,0,pathways_list_f_a,1,flood_agr,Wp,04_00_00_00
104,2.5,0,0,pathways_list_f_a,1,flood_agr,Wp,05_00_00_00
105,3.4,0,0,pathways_list_f_a,1,flood_agr,Wp,06_00_00_00
106,2.3,0,0,pathways_list_f_a,1,flood_agr,Wp,07_00_00_00
107,2.3,0,0,pathways_list_f_a,1,flood_agr,Wp,08_00_00_00
